x,cdf(x),ccdf(x)
-239.5,3.605936328684664281610157654880593064769229882897250418053987822045819645572987772123841787113458118781020618067080426917075237942373338201584895203182e-7954994,1
-239,1.251251637707425747313190500561186747501909023366284901311849129375276030964778284403322330088958013379344928178516057198020949400973666259585345612002e-7905275,1
-238.5,1.108949489357932692055242510133794131021492372096310526093928701238099907559290245325920615634815636404647401943563266324929875193057468256262619023157e-7855764,1
-238,6.823604813669893430948673299347955479111688093618403003800841343413322701925453824638230975274191271059879778052937943973479909379887328517864787153741e-7806461,1
-237.5,7.924018079154470672086876858630910612691529691469703633287524703317704675440955156338673948556681164049228431761168494386103708489447696943189034445487e-7757364,1
-237,4.720641628138836796450746149392939897599300290728234005730907273414469990241779730089799113879874309660944955759554890185042079862057391547062613282583e-7708473,1
-236.5,3.921706456885437262190454071465230419269846739151105139094348604528086544883071618316123328635951102117473797788445131963164245804882876238173312673189e-7659788,1
-236,1.234986204080850519216333463743481640343929734877723527571456258423836472967931254319816295464108578961190289263188135510329458829915983956767263039987e-7611308,1
-235.5,4.007343722642933638876205577901616277579715301895932006059995831180115507392212438300054961851619554347185575186646146124282380508674734163301427851259e-7563034,1
-235,3.642109876791528064362205533826961556053371216521554831260416721251434350517868509307393754686306768335090199056992395236670548585519776703891063569734e-7514964,1
-234.5,2.520263483729790762701824752944818087445882125576044610390141672851535649946475637281088048232276295470048830955248808730313088202967909527691030565171e-7467098,1
-234,3.609356660844431579054258775614947980952800728528634873230704556510954938545945172865992085035720039579934825217709160176930321140329448504939893076005e-7419436,1
-233.5,2.908031423865109115177487447697932086503224710750463119015432811301287779304057762617473768848189555202156894486456189266095200034801179121829629381311e-7371977,1
-233,3.583012549390532286130019803031625676897027203141567545962026857744435640878321602752113492990050790467654271839143348413560398443197561215810469742316e-7324721,1
-232.5,1.835151809881897645466313624389012556926842822971469640951610138509891085910799093194403344609281686025998162069218450469036479754724006643370892826588e-7277667,1
-232,1.062098000510939838749206326051797786539501698199236655407772797158681592996540641628888546794463047864647998940670754623683009678449336119585375387244e-7230815,1
-231.5,1.888080943128670667691572523589923400477772432793698901577736897658126750539337122951599797181063320690025876721374384693082258576732732097480717879442e-7184165,1
-231,2.802428519841152586296658129272006997077077130989339486605734032239107506363380072209623966352214906939711027947922878357755976177744003980045702807504e-7137716,1
-230.5,9.440628154802945018736019304100140751192303303735886349252956429458556722461994597375465507924214892854356704383382501620583235360725366570409939627591e-7091468,1
-230,1.962068421157651352983607257910873379175670930450975660755823010586228845313922012829758810368851460022437456776892915082060895008330548587949965378805e-7045419,1
-229.5,6.838625275410505321668815351171512694721639692523356469566175777452562238223188349988779438329347170153595822223812877198650751565992481424787989336547e-6999571,1
-229,1.086574139641330847801582219979569837946013099705523833572858772367452445825908877470133982070980256231269360541454101059551503222741304168727275343172e-6953921,1
-228.5,2.139342486325076513977745205949480119697956195460176699161898704094529780263737623580719964046266556670624976064808015175846688426518312404405076099467e-6908471,1
-228,1.418816260265096490448580003489089296116344896420478999862953448506417076555113851261122176545112742847834611907649155817487303415939257309827978258218e-6863219,1
-227.5,8.615716160443482175927563795487352644783659905705675569227543545360517877249334087500209048760581096153042601883284582704508543222805066064797170967777e-6818166,1
-227,1.302178407236303669564603274941441071428314877547702953138469248576676407813991004718460431665856265780756885377565154755791889376166610327999426658407e-6773309,1
-226.5,1.331551513897346400010141710410509388592486805307399278106836515190376665832205717296291444238897035073523165607907913571423882607973685108270822226675e-6728650,1
-226,2.504080741746079324104416967318033836510371921943886620628097577294548802034842723157262104879829367915559610221690476779860741925548307980649907975309e-6684188,1
-225.5,2.354160410594779729916354134175283557259851917726794181320175182633180580872726972487043863675391593320870205043158840495017109648779273866209323625045e-6639922,1
-225,3.007569279950602300620707582398078198339728066060556042686783243287116219640974349366963008473024874710973687882328100301630758807715775544385597255927e-6595852,1
-224.5,1.419324138585381160332751814431081062516114664647976422010562373672728856238299649249401077567920110359990565263791379141681874021180460459224351892908e-6551977,1
-224,6.725559116905311836587026083283074423536228768974904542775013289930624918893004951251445868186008306509859918615246714309020990752251064386151849834652e-6508298,1
-223.5,8.69862388639816872388117167934611952102473604018989017251737197164914461622394192416322691270269577914556697362213927098486990232187270683256883861354e-6464813,1
-223,8.347233480668452490071843404116376812465107601054834802699695848594816644142248340945454688194712048441165171664122804175266993716635231992021178193883e-6421522,1
-222.5,1.615470068054449210463616520602989869114863439360259273230306246559110884194026638402785973162318657123113417323053456970025941787418564468869575891495e-6378424,1
