stats,x,pdf
mode,-0.4432284977460014720866292801600737435219820633322927891268820836968283896791558166784882467179662504951497202146581840999038700234633009218193442064957,0.7315318110417043255474364588947006424250120621726908520828722425060941311425534077279794350792139658949892397856586851686252628208796841350022527264762
mode-eps,-0.4432284977460014720866292801600737435219820633322927891268820836968283896801558166784882467179662504951497202146581840999038700234633009218193442064957,0.7315318110417043255474364588947006424250120621726908520828722425060941311425534077279794350792139658949892397856586851686252628208796841350022527264746
mode+eps,-0.4432284977460014720866292801600737435219820633322927891268820836968283896781558166784882467179662504951497202146581840999038700234633009218193442064957,0.7315318110417043255474364588947006424250120621726908520828722425060941311425534077279794350792139658949892397856586851686252628208796841350022527264746
check : True
