quantile,x
0.4973,-2.7738510814993294805739226654915470642356868528164927813907118792668069057512834834203937561934773752829421973171477053831210232244505499199210821e-1
0.4972,-2.7752968734862903382176403622815847038786338413398914584967808754244397501758425840079707675296491924174186161475735216899688655860827332676267842e-1
0.4971,-2.7767425302051962091977396206610849485521694869057010565620927940411132608270859104791773205728776322272926939596358321593798490129944684342811422e-1
0.497,-2.7781880517838789964429353399615069156243674232138163880506066551605099686978302278247408690403464093313078172069839573132105814248864036135335123e-1
0.4969,-2.7796334383501226141268846648205228812992848633722459071645728732362044280333651604868494052644525579132301224819779544197455711589081214766775529e-1
0.4968,-2.7810786900316630577160107265194499127765712470379881807394788090027496999180014201241509119918792123149053376774277137067009331370353468779144425e-1
0.4967,-2.7825238069561884739683233496042169217063245362408294634751261341679817955728518453469893371705764185185368727297563964743196634431695539676891943e-1
0.4966,-2.7839687892513392308833312914086801144814276969665311509141302759201828094843353606706927611779595161217074521854388178650174232077294846673404412e-1
0.4965,-2.7854136370447079876031404835613588533850174555110765767210810096625391790026638812598736194259130785494809636474378028256081287534609658770325898e-1
0.4964,-2.7868583504638397642648326462535978040774597781854245580666320249116646015871690111007451776683562629305816033626341346915332447363578298047119251e-1
0.4963,-2.7883029296362320118042185479784429160289592650305401804272936459595401550715721367254824702402170559530666240073895221867993998234389811954121131e-1
0.4962,-2.7897473746893346817110600856148221734937794578375591783136940103871095649620900677868366565221738901222040825956322699140786633106304886874005027e-1
0.4961,-2.7911916857505502957358552621306219976266716972866856683131861160043374999262994225120267132316659622930767730993447437408993852072899528475751154e-1
0.496,-2.7926358629472340155482800418106224278313211922901000160975791873042755557935917661829329760042547461398612502080609479952570822588711204395417372e-1
0.4959,-2.7940799064066937123473809657806754335921841757184015570167141530706531490364131741239150663321982280981006572313732390315295799386302643011934633e-1
0.4958,-2.7955238162561900364236123136976584951807644352965189366077321138013056202797601949147847772312440439174406421888579134834770675331412178213485643e-1
0.4957,-2.7969675926229364866728115008052884465741919673907221359508989743289979188496066850431469165255093223087231575330347135587702785001050358136076020e-1
0.4956,-2.7984112356340994800622063031185179144407388464162186006207251121011142604929158294235066262321783209073258806839174864466215118458428496488583646e-1
0.4955,-2.7998547454167984210485474072936388432459693054084784018718461823910728795366578778055989748212880057426867625700121264219672488970093964721813432e-1
0.4954,-2.8012981220981057709484596857670658092973495596274494338345279310001740842788938655670884175204801028571675044911662946284250538090699540184842950e-1
0.4953,-2.8027413658050471172611055020027482459536860107047864366394220075042080316903095682262537580069742842669261025192094856512333953313500728778225253e-1
0.4952,-2.8041844766646012429432532551759483859859454556621398267024920341002030232669393751706313303521423658991981351965425259047331233710601181373896398e-1
0.4951,-2.8056274548037001956368442783394046389594252749235953359422479349445032406585182679263997026171966894565580867710168864745366213997033047790948707e-1
0.495,-2.8070703003492293568491511090663631297914752681028587373627867263031176261547310437249441331485837870180106498137551099716355276318612186024865436e-1
0.4949,-2.8085130134280275110856200567432890005544114927842638912169780053505179526821776875726915399978169278730715196428586184488209423839529239397022052e-1
0.4948,-2.8099555941668869149354908960929504937750207900517921885952419652110410834358199393797945339346219552815687096920062824443341535085565198800146760e-1
0.4947,-2.8113980426925533661102864221456903644270391952446548978135462742099535627358980975564167568881188831007757441854556634573083746135822415677907917e-1
0.4946,-2.8128403591317262724352645077427492803420784320853397791803171144511281027488397492895538483509545003388912639510732698425210428333373900765691819e-1
0.4945,-2.8142825436110587207939252107501739344898165160199236904559742364697013717406878925700807298692161385557983715899697850879860606362980044104049270e-1
0.4944,-2.8157245962571575460256653844848188703756577521740409729768836731523235215786150151711172362127168203130822366416941780601589007888988795776352344e-1
0.4943,-2.8171665171965833997766731514049266702904286501315998486385452403233613855889214759983030397557262640379195145465436489630596744150115697789640228e-1
0.4942,-2.8186083065558508193041545068964382241626147008729439269871548296016131404748077297027580182648520436204778130418062793545800605397537552512961726e-1
0.4941,-2.8200499644614282962339842269922362238610638235673224768882698970769320698542101877320753249983763961776336757611409841438722641585777346218313008e-1
0.494,-2.8214914910397383452718731610946546427308665820452011287569930858669261705023654208600157311653345914475821074113544624865912030838700198397520824e-1
0.4939,-2.8229328864171575728681438982314894793748494234435620920028356440421559013248594483503156956808954723786972055415267850080870453901571551947663824e-1
0.4938,-2.8243741507200167458362067030621170708798185212017639428911236834813795414755562652163589143926863225368987198512634781744115188874343868752750608e-1
0.4937,-2.8258152840746008599248275257628623012046394750892423962919299797121499610666012193459502134450059334068937318681591764534348527970473693937817774e-1
0.4936,-2.8272562866071492083442797980591574158957394332537430258388374791624674057247809994334727890806339071960866239711357273843075512926403067769507245e-1
0.4935,-2.8286971584438554502464716360359911570168200626580358559721064654945031381315049338759579916396746796905567739251958540006727345015625290115562036e-1
