x,pdf(x)
-245.5,1.370330204499282968741347650998789274622823763730122035383005450211752050465163780348471613068833482983774510520545642931294080727869600909666745670537e-8567961
-245,4.607501547290717815216193982453885187312423562929290790476512449806800709083044618099362619339215436109792705659551657173049564571435474475143848638323e-8515718
-244.5,2.4311329640628812370548372507074404209105450201339759123169832357629561687910430134847878382583871315517924022176782637222548001898690513832119548798e-8463687
-244,5.472041412998929911149400963720346189274983780146700995509902103722144165141004186528494922022693402124060097056194965334822664019896195295448691810862e-8411869
-243.5,1.428176748948121539754890449293943684827017700089327364695092263102699732398714923026618106067087992675714674635507976093649673015104390758413709062298e-8360262
-243,1.174900094634051287514790253750926754821367568518906863473815757126409466021218181044404274655946036619562325091639787490563527241440639853154446431296e-8308867
-242.5,8.281343420523781379552863442572469593353161063625262810812404878485216021597764208594744489656902917058337655967281636909902188496637066317982644704162e-8257684
-242,1.359489960241057033744584776353282959981775590324176188734723149786097197839670108786224317680553983103994548766122518601818073900075073646712507684167e-8206710
-241.5,1.41293130143024962473009634000702180387757627339887737276995748881935206881126206270176902039104788410444571641277938918651928009290279255076925720552e-8155947
-241,2.527146378320055194458879444129423718748751931985154095996994800698703117800638685759750011236004026896263022402852075700693081666297410672439960886741e-8105394
-240.5,2.114455441602090004529556801708034138102524358864862380291313063749255974034452008798476574418441654256769881451280337188242588199141059581086767818764e-8055050
-240,2.249675833912342078966624254375213770401452931132997323563607112641235659059727889845750292788695224303543473828863034590893354697889132217723879283331e-8004915
-239.5,8.27349659773889264696378785253864786636916426797086337172979701274188413931565001204904260689689412321382391540571169370551143494287314574311243356821e-7954989
-239,2.858909870429868082937999871611062540051824820035659149619066213706484404016629428723805560805754393266970971399020250177208335973874225692986968961044e-7905270
-238.5,2.523181753386457936364016073625099759063946744933163199019894648418182069392972632411860934077257996789135223026877614774608714391851608086679831824733e-7855759
-238,1.546065127267980205589995565630325914583907588911604018010073294780743603871823426320370764501679051215865750409957772403266358592459332675934060916439e-7806455
-237.5,1.787856629155654772813751302436236199733723902619820743824355062175903138157717364650895572436365234016872854374995193901250224214785579759857243504517e-7757358
-237,1.060614908321198365407771326619841221462543404890877780757503724943270055605877075123696870576972516177177977636254748470430682671978962227804633623572e-7708467
-236.5,8.773994887659231362692936124380551686063442066965994999412782522915601582023532747305227590860879646444948326092521988921300557649240519554255783585454e-7659783
-236,2.751351743394363643301980858480054201779539203755564310353867534760750568818668637399862972446111864487217417948307801344707361995508119922461107350725e-7611303
-235.5,8.889931642993119669362906279152458548328946860804244834569684167064226871965720035853230408961211194913889335691873542914970661184311360908321114111423e-7563029
-235,8.045420950307571324278815331805387962403277955311210259686477052409637465965310616723943368298505110008868981326981457686665556945149142533801597799703e-7514959
-234.5,5.543596922657760024912293441445628990468432348849569706717800488969624443478119940312027805914087266277387310364751768484894404351283503543598079923511e-7467093
-234,7.905357564216911751777227382287225002113576771543934400580399893365795315558546676199070355581138735973482234740704803675582871992726318364301708516021e-7419431
-233.5,6.342096838804607929507294357344606430920129010196809312980869309969302896000239055407422593240736768997230434161363282320152099599034782903514777714663e-7371972
-233,7.780726962420535326690776848636659031862206737712565500715977319043370349356407725722894305459673602719703871201094784016332095594744041646774677158335e-7324716
-232.5,3.968057119314017471217615267952414892048996630993323266428913983248100887679658000027352509168511519295658918127264297382546446154073467570417354277324e-7277662
-232,2.286654579850158483307705337485795885161654199916792762991774460903124678557895485097433597823922960501915281966376292982483251027564139487245574008525e-7230810
-231.5,4.04746035931335112505100510792436112493765752716698620104205458374720285502098745556510298343040416574421514427221772414176934020422508907340973293132e-7184160
-231,5.981615711865617180856178279330873622733846966723254238720053167400567220208084028904168648424213717489429480112780964338272699304594070854203486890916e-7137711
-230.5,2.006331797522631182196833732588159247770992497855067894198856414788277866683871470993280068935838225753384887719822015237217849382737205197083240771081e-7091462
-230,4.151736907130566801877710673187714563730419168153438711241798156159231009050332368886071336957527210952053195763918451314909672998445710365790254666016e-7045414
-229.5,1.440768456345655277390279061170226267349452893629395964059509978985300539286847613603312605679957345992124009588190820863512147569891959331097040384743e-6999565
-229,2.279241449450215620671550425305949358616231719257221589981750543072306132968334628822585683464165575345892160304812446294466323615467243189181680489714e-6953916
-228.5,4.467995529703288324967413614897005254248950908005737339450867994438080695919455276696286865259206221322034842768212850978828619004430868438623894386795e-6908466
-228,2.950229872288000477342807371780705657987077132588933617854142492420230251778709036055738030528455084334253448947124220805555964048328495240707848416227e-6863214
-227.5,1.783668694922728219268371433475681029280948070562910886730527302720991777045500464908648938787180218241485714267255166989542924325857822539698476197939e-6818160
-227,2.683998131906205776035698480839315318096778427298500391778678689584614163344496131250695569006486465877803007194300773150216698740238503740635558766018e-6773304
-226.5,2.732463634335819661957259102103728248373029327253747484400107939775117564660840570747597527949611282334060130640259571294409297872944951488518679405164e-6728645
-226,5.115937284816948934585078306193398270298072429720367668267080187646803504471892120810519736625007031697446408000984564705288017425248903612763994909859e-6684183
-225.5,4.788385973349914426527248189004355805338466093494985047917354723120185457754627918543626023555885847142673671416172146905745064207044696933355494850447e-6639917
-225,6.0903279924045758536239255685312643646285213968920419659288359886632524534130318333020604211017208088130082719112894040942028092997890276965715574615e-6595847
-224.5,2.861371751461856126011934392412538743241903944115997042595349792274934874259581305481745442302228420791856203318010111338215603658568880830486605068485e-6551972
-224,1.3498466620365870977819680781015120174197327983465067845618133160306818194636680414475010103420504947555684979976152070062479264610032963208082615106e-6508292
-223.5,1.738063398497354073773386256758317971037528082664818030470984535077111723604610330271670158284776772990380836704597497776697771431601777071032422899517e-6464807
-223,1.660398351187952717254637587937086481846160966542440794127942996641880750429485354815855187873401839723729883107363759491023957945275400061923663595568e-6421516
-222.5,3.199034711172910521220962923103478322033637036036130726905344849747379268505450431657431032757415320571643056393445577448375331766536535932488244494098e-6378419
-222,3.378936793304918403533000630213357626224900272010721506013246072985763311220058384185839504254412033199389652707367928467668601197857409053823026299113e-6335515
-221.5,5.318511673634008193815129597186123019153278969357662499429798212802358836059601427869302360560959191434390751380626667260229382758347796434146655923668e-6292804
-221,3.391123262859632274601688099158965360651267801785963535044624151565287432160420474817489286602944097474308586793606794271490936958749213972858342491467e-6250285
-220.5,2.380865832939023664130168421640866447824637379799733742971157337088795217284732873114464548006893657899826481389297843223118410914689232187365270671035e-6207958
-220,5.003324068163989387426737323592797658522217393382021364533089984215893240025856409751521458411427488083289158228503865769843634818303837365058751005165e-6165823
-219.5,8.554786686654990795531307228646922900334121274458173296865478384495625491383620335667010241290018391232194587855031815886542603709375249986971475767162e-6123879
-219,3.235050423302807533972859846384266502530980227360568758298868254329276917794814131541755762741332395579178045677804498842170880770356435055389363605947e-6082125
-218.5,7.354763600114377794190366394208201387676107755179510264472538707279239739591626341037281474046111421209844517651409745701726913329105129267575761202124e-6040562
-218,2.732540786267415760678623285854776678047020937025309495577448247137347032874870166366350684237863669853099577750948550676112708323244326859306747705681e-5999188
-217.5,4.509925168767760002631694580821805543902886741841780983426909755968986578724452931007643412685987936268798726439577595925389574822229913039079899021328e-5958004
-217,8.988169282005216793547271690855127482357089817192954716260191589338617157498929881905148157039879519942059847414640096912465772246522137270804264451742e-5917009
-216.5,5.879858188274740039290992650107231667042835671895094751954286525014823468360201009918857777910567936212254523769893338855811700042373097735410410269269e-5876202
-216,3.432026543237874012580836365748237443386087437243678723874633794325303176247485653593666399656732233201125342054346329320636664650436300009500734293048e-5835583
-215.5,4.858666370967458060991808442211978735937377711980527265967941105695935711741524107373059470080960180573721400434817589991423635783805001315572655069156e-5795152
-215,4.534826226759127928717897948366466115090494929232691003400467475296985872020569056862921774896285265840719652551267304666288834684408142554259194387838e-5754908
-214.5,7.585353553441431552170862142037389205362802200650316481604671586417265220663043960108430680310831161925589879133714691249502484772610483174628227372557e-5714851
-214,6.180976466736355552659719461575958002466420291045397246771477806416105743106492547696721421405822215253565054691910597479641285933377387359047899234309e-5674980
-213.5,6.669586540776224328969712625221012864768998893383290769289194356614795350909324116247514073706091944595171693952856859695960858477681163039915052967671e-5635295
-213,2.590572615948879915269992791076221255983834364435945824842856376375409053543316853165429709579063802724104708664251815137753106447421184020535259757826e-5595795
-212.5,9.845598953763735242772000302319083451454085973011156666541979050442615034281012958676583564006553552378785330330333813034436166281476617014268707140951e-5556481
-212,9.952507221014316185498536793395459820386176048225028313794850109333183948000289141390217693638991508991199340469335110661487568085708401926543118660564e-5517351
-211.5,7.27379951212850817152204207146460617549557108073171867374432120318572565221022023498662631473007120559822119981061339131671003014196142582904063713297e-5478405
-211,1.044775771755877722699602264502537654905601962198588707139025681626268928729007997089770470045632997165525001984481074017798136799289914335490654189973e-5439642
-210.5,8.017007255876292599356869356997510536875887963015046554925416769110703676684914728148710683703446836059018296089976058839311245071420497309638916479703e-5401064
-210,8.933535223365303688758392165854357152988346199412811683488547505615668892766491359489422231275691863627408196816811216579357043650361311042006373827059e-5362668
-209.5,3.929622222880388819928026480451946467426238290385611529754627993801785148496382190972986354643326231344327740783515658940975704495447929156691715985942e-5324454
-209,1.854765862109626048140352999111379190256320484764725433625903165811296615231363736862489679525174500636781202216586496723918795154325628920661770968256e-5286422
-208.5,2.553481456017799115285724536454768322444907534202189744791098040269723772308750191860386907302044649113222390396991177410643936093083323338681111756411e-5248572
-208,2.787251258273937950838387743074806589210765922158467880316944031071220362074269593789021561189760920331876907382071753557605522173926513160565850107685e-5210903
-207.5,6.557130175490173832301613507353105406169002873197987800991403928032038592959168980057646313039581760958189947066203128594801405800533145684590589260903e-5173415
-207,9.037332067890788862031223163875762096696113470290651685997523668772893776028629798679790973666596602290813278186081810025160027762670817587571714595082e-5136107
-206.5,1.983580819294319888025247023160051079788336434829330124305822244430718252271446273197394616944394204184226953241924601926495086456101607244014072042837e-5098978
-206,1.884678433097838471104289838868651844655399705754078600292390883207906164077841641822186913659725527000607489009332885789975072990290913853332786973076e-5062029
